iso_code,family,name,latitude,longitude
trq,otom1299,San Martín Itunyoso Triqui,17.2428,-97.9202
pls,otom1299,San Marcos Tlalcoyalco Popoloca,18.74,-97.5936
scf,indo1319,San Miguel Creole French,8.32601,-81.2564
azg,otom1299,San Pedro Amuzgos Amuzgo,16.5198,-98.0464
zpf,otom1299,San Pedro Quiatoni Zapotec,16.7608,-96.0899
hvv,huav1256,Santa María del Mar Huave,16.2167,-94.8159
nhz,utoa1244,Santa María La Alta Nahuatl,18.6286,-97.7009
cok,utoa1244,Santa Teresa Cora,22.7102,-104.7
qus,quec1387,Santiago del Estero Quichua,-27.821,-63.2466
qxt,quec1387,Santa Ana de Tusi Pasco Quechua,-10.3302,-76.2753
mza,otom1299,Santa María Zacatepec Mixtec,16.7003,-97.9484
mdv,otom1299,Santa Lucía Monteverde Mixtec,16.9969,-97.6277
zpn,otom1299,Santa Inés Yatzechi Zapotec,16.8842,-96.7527
ztn,otom1299,Santa Catarina Albarradas Zapotec,17.0446,-96.3512
zas,otom1299,Santo Domingo Albarradas Zapotec,17.0345,-96.281
zpi,otom1299,Santa María Quiegolani Zapotec,16.033,-96.0486
zpr,otom1299,Santiago Xanica Zapotec,15.8836,-96.2186
pca,otom1299,Santa Inés Ahuatempan Popoloca,18.38647,-97.85991
xsu,yano1268,Sanumá,4.5,-64.5
zpt,otom1299,San Vicente Coatlán Zapotec,16.2817,-96.8667
zkp,nucl1710,São Paulo Kaingáng,-21.771882,-50.429849
sar,araw1281,Saraveca,-16.07,-57.8
srm,indo1319,Saramaccan,4.54729,-54.0238
srs,atha1245,Sarsi,50.8822,-114.301
mav,tupi1275,Sateré-Mawé,-3.63897,-56.8749
pos,mixe1284,Sayula Popoluca,17.8606,-94.9531
sec,sali1255,Sechelt,49.4757,-123.765
sey,tuca1253,Secoya,-0.459785,-75.5547
sek,atha1245,Sekani,57.4421,-125.664
see,iroq1247,Seneca,42.56,-77.53
sni,pano1259,Sensi,-7.24999,-74.9166
ser,utoa1244,Serrano,33.9479,-116.772
ojs,algi1248,Severn Ojibwa,53.9092,-89.9331
swo,pano1259,Shanenawa,-8.00919,-73.3264
mcd,pano1259,Sharanahua,-9.8626,-71.1232
sht,shas1238,Shasta,41.7587,-122.738
sjw,algi1248,Shawnee,40.0,-83.0
snh,unat1236,Shinabo,-14.3798,-62.3404
shp,pano1259,Shipibo-Conibo,-7.17105,-74.8219
shh,utoa1244,Shoshoni,41.0,-116.0
jiv,jiva1245,Shuar,-3.45136,-78.1892
shs,sali1255,Shuswap,50.8734,-119.667
nsu,utoa1244,Sierra Negra Nahuatl,18.45,-96.9
zaa,otom1299,Sierra de Juárez Zapotec,17.4219,-96.6191
qws,quec1387,Sihuas Ancash Quechua,-8.49346,-77.5319
sik,book1242,Sikiana,3.01294,-57.9221
bla,algi1248,Siksika,49.0669,-113.109
mks,otom1299,Silacayoapan Mixtec,17.5541,-98.1163
xts,otom1299,Sindihui Mixtec,17.02,-97.3036
xti,otom1299,Sinicahua Mixtec,17.2218,-97.5904
snn,tuca1253,Siona-Tetete,0.31733,-76.0237
qum,maya1287,Sipacapense,15.23054,-91.7041
srq,tupi1275,Sirionó,-15.5298,-63.9688
sri,tuca1253,Siriano,0.436515,-70.184
lsv,sign1238,Sivia Sign Language,-12.51094,-73.86124
ska,sali1255,Skagit,48.5314,-121.991
skw,indo1319,Skepi Creole Dutch,6.05191,-58.5626
sno,sali1255,Snohomish,47.9341,-122.138
cso,otom1299,Sochiapam Chinantec,17.7985,-96.6079
hax,haid1248,Southern Haida,53.2616,-132.008
tce,atha1245,Southern Tutchone,60.7823,-136.573
caf,atha1245,Southern Carrier,53.1763,-124.452
xsl,atha1245,South Slavey,59.8794,-117.047
tix,kiow1265,Southern Tiwa,34.7873,-106.661
slh,sali1255,Southern Puget Sound Salish,47.263,-122.141
twr,utoa1244,Southwestern Tarahumara,27.0314,-107.578
tcu,utoa1244,Southeastern Tarahumara,26.7282,-106.706
npl,utoa1244,Southeastern Puebla Nahuatl,18.39688,-97.12655
stp,utoa1244,Southeastern Tepehuan,23.1584,-103.983
tla,utoa1244,Southwestern Tepehuan,23.2553,-104.688
crj,algi1248,Southern East Cree,51.4078,-78.6971
pom,pomo1273,Southeastern Pomo,38.9354,-122.599
peq,pomo1273,Southern Pomo,38.7643,-122.545
skd,miwo1274,Southern Sierra Miwok,38.2363,-120.507
enx,leng1261,Enxet Sur,-23.427556,-57.945626
qup,quec1387,Southern Pastaza Quechua,-3.32733,-76.527
quh,quec1387,South Bolivian Quechua,-20.9201,-66.3331
qxo,quec1387,Southern Conchucos Ancash Quechua,-9.30995,-76.9854
nab,namb1299,Southern Nambikuára,-14.3707,-59.5187
ayc,ayma1253,Southern Aymara,-17.1417,-70.3442
pmz,otom1299,Southern Pame,20.966,-99.334
meh,otom1299,Southwestern Tlaxiaco Mixtec,16.9887,-97.7974
mit,otom1299,Southern Puebla Mixtec,18.2123,-97.9572
mxy,otom1299,Southeastern Nochixtlán Mixtec,17.21219,-97.01454
zsr,otom1299,Southern Rincon Zapotec,17.3031,-96.3775
zpd,otom1299,Southeastern Ixtlán Zapotec,17.2588,-96.6199
cpy,araw1281,South Ucayali Ashéninka,-10.37875,-74.060306
vmq,otom1299,Soyaltepec Mixtec,17.5892,-97.19211
vmp,otom1299,Soyaltepec Mazatec,18.2868,-96.4946
spo,sali1255,Spokane,47.9087,-118.062
squ,sali1255,Squamish,49.3231,-123.014
srn,indo1319,Sranan Tongo,5.83,-55.33
sto,siou1252,Stoney,51.1939,-114.984
str,sali1255,Northern Straits Salish,48.51614,-123.757114
sut,otom1299,Subtiaba,12.4667,-86.9166
mdz,tupi1275,Suruí Do Pará,-5.9271,-48.588
sru,tupi1275,Suruí,-11.0989,-61.2818
swx,araw1282,Suruahá,-6.82525,-66.3146
sqn,iroq1247,Susquehannock,41.169,-76.208
suy,nucl1710,Suyá,-11.5178,-53.0743
csw,algi1248,Swampy Cree,56.0,-95.0
zoq,mixe1284,Tabasco Zoque,18.1713,-93.0968
nhc,utoa1244,Tabasco Nahuatl,17.9371,-93.5688
chf,maya1287,Tabasco Chontal,18.1713,-92.7367
zat,otom1299,Tabaa Zapotec,17.2822,-96.2777
tna,pano1259,Tacana,-13.39249,-68.04056
xtt,otom1299,Tacahua-Yolotepec Mixtec,16.9648,-97.4537
mtz,book1242,Tacanec,,
tgx,atha1245,Tagish,60.242,-134.799
tht,atha1245,Tahltan,58.4498,-130.052
tnq,araw1281,Taino,18.2836,-66.8042
tzl,arti1236,Talossan,,
tmz,cari1283,Tamanaku,2.765,-65.883
vmx,otom1299,Tamazola Mixtec,17.1258,-97.0998
ten,tuca1253,Tama (Colombia),1.03332,-75.25
tfn,atha1245,Dena'ina,60.4712,-150.759
tcb,atha1245,Tanacross,63.4046,-143.338
tnc,tuca1253,Tanimuca-Retuarã,-0.59023,-70.3853
qcs,mixe1284,Tapachultec,14.9,-92.28
tbb,book1242,Tapeba,-4.99999,-40.3333
tpj,tupi1275,Tapieté,-21.4169,-62.684
taf,tupi1275,Tapirapé,-10.5373,-50.5438
tae,araw1281,Tariana,0.440205,-68.9042
cta,otom1299,Tataltepec Chatino,16.2963,-97.5311
tav,tuca1253,Tatuyo,0.55582,-70.5327
xtw,namb1299,Tawandê,-11.784632,-60.535032
tcw,toto1251,Tecpatlán Totonac,20.2394,-97.8675
teh,chon1288,Tehuelche,-47.5796,-68.3235
ztt,otom1299,Tejalapan Zapotec,17.0944,-96.8876
ttc,maya1287,Tektiteko,15.4599,-92.1136
nhv,utoa1244,Temascaltepec Nahuatl,19.3282,-99.7968
tqb,tupi1275,Tenetehara,-2.6123,-48.2359
ott,otom1299,Temoaya Otomi,19.6001,-99.6541
quw,quec1387,Tena Lowland Quichua,-0.76271,-77.5404
otn,otom1299,Tenango Otomi,20.4262,-98.1751
pah,tupi1275,Tenharim-Parintintin-Diahoi,-7.92626,-61.936
tqn,saha1239,Tenino,44.7985,-121.44
tep,utoa1244,Tepecano,22.03529,-103.7367
cnt,otom1299,Tepetotutla Chinantec,17.7115,-96.5404
cux,otom1299,Tepeuxila Cuicatec,17.756,-96.788
cte,otom1299,Tepinapa Chinantec,17.6651,-96.1433
ter,araw1281,Terena-Kinikinao-Chane,-20.6614,-56.0329
tfr,chib1249,Teribe,9.067,-82.9631
nhg,utoa1244,Tetelcingo Nahuatl,18.8854,-98.893
teb,book1242,Tetete,-0.02668,-76.5761
cut,otom1299,Teutila Cuicatec,17.9029,-96.6645
tew,kiow1265,Rio Grande Tewa,35.9053,-106.124
otx,otom1299,Texcatepec Otomi,20.7342,-98.2663
poq,mixe1284,Texistepec Popoluca,17.8926,-94.8076
zpz,otom1299,Texmelucan Zapotec,16.49197,-97.08947
mxb,otom1299,Tezoatlán Mixtec,17.6155,-97.9002
thp,sali1255,Thompson,50.1668,-120.193
tca,ticu1244,Ticuna,-3.66289,-69.8723
mtx,otom1299,Tidaá Mixtec,17.4142,-97.3333
xtl,otom1299,Tijaltepec Mixtec,17.1539,-97.4578
otl,otom1299,Tilapa Otomi,19.4403,-99.5074
til,sali1255,Tillamook,45.5,-123.83
zts,otom1299,Tilquiapan Zapotec,16.8529,-96.6321
tgv,book1242,Tingui-Boto,-11.5816,-37.538
tpt,toto1251,Tlachichilco Tepehua,20.704,-98.1947
tpl,otom1299,Tlacoapa Me'phaa,17.3262,-98.8013
ctl,otom1299,Tlacoatzintepec Chinantec,17.8646,-96.5176
zpk,otom1299,Tlacolulita Zapotec,16.2971,-95.7414
mxp,mixe1284,Tlahuitoltepec Mixe,16.9634,-96.1186
nuz,utoa1244,Tlamacazapa Nahuatl,18.6239,-99.3992
mqh,otom1299,Tlazoyaltepec Mixtec,17.02704,-96.97827
tli,atha1245,Tlingit,59.4447,-135.29
tmf,leng1261,Toba-Enenlhet,-21.5474,-58.0158
tob,guai1249,Toba,-23.77,-61.96
tgh,indo1319,Tobagonian Creole English,11.2388,-60.6791
asu,tupi1275,Tocantins Asurini,-3.59359,-49.8991
ood,utoa1244,Tohono O'odham,31.7973,-111.995
toj,maya1287,Tojolabal,16.2572,-91.7825
tok,arti1236,Toki Pona,,
jic,jica1245,Tol,14.6686,-87.0372
tol,atha1245,Tolowa-Chetco,41.9192,-124.1
toe,book1242,Tomedes,3.24999,-69.6666
xgf,utoa1244,Tongva,34.1,-118.11
trz,chap1271,Torá,-6.19532,-61.7416
tno,pano1259,Toromono,-13.3028,-67.3931
mto,mixe1284,Totontepec Mixe,17.2157,-96.0179
ttk,barb1265,Totoro,2.55149,-76.6379
zph,otom1299,Totomachapan Zapotec,16.8554,-97.0824
tme,unat1236,Tremembé,-3.09359,-40.204
trn,araw1281,Trinitario-Javeriano-Loretano,-15.3331,-65.4096
trf,indo1319,Trinidadian Creole English,10.4208,-61.4171
lst,sign1238,Modern Trinidad and Tobago Sign Language,10.666667,-61.516667
tri,cari1283,Trió,2.53616,-55.7599
tka,unat1236,Truká,-8.49999,-39.0
txc,atha1245,Tsetsaut,55.5,-130.08
nrt,kala1402,Tualatin-Yamhill,45.327,-122.955
tub,utoa1244,Tübatulabal,35.327,-117.163
tbu,utoa1244,Tubar,27.00003,-107.98934
tuo,tuca1253,Tucano,0.579755,-69.5763
tkf,unat1236,Tukumanféd,-11.518,-61.42
tpr,tupi1275,Tuparí,-11.8884,-62.2544
tpk,tupi1275,Tupinikin,-19.0,-40.4167
tpn,tupi1275,Tupinambá,-22.807778,-42.106389
tpw,tupi1275,Lingua Geral Paulista,-23.95,-46.38
twt,tupi1275,Turiwára,-2.0,-49.5
tch,indo1319,Turks And Caicos Creole English,21.8078,-71.7451
tus,iroq1247,Tuscarora,35.75362,-77.60117
tta,siou1252,Tutelo,37.67,-78.75
tuu,atha1245,Tututni,42.5563,-124.293
mtu,otom1299,Tututepec Mixtec,16.11351,-97.55969
tux,pano1259,Tuxináwa,-9.74999,-69.0167
tue,tuca1253,Tuyuca,0.39441,-70.043515
twa,sali1255,Twana,47.48952,-123.21227
tzh,maya1287,Tzeltal,16.6384,-92.2786
tzb,book1242,"Tzeltal, Bachajón",16.64,-92.28
tzo,maya1287,Tzotzil,16.6362,-92.7388
tzs,book1242,"Tzotzil, San Andrés Larrainzar",16.64,-92.74
tzu,book1242,"Tzotzil, Huixtán",16.64,-92.74
tzc,book1242,"Tzotzil, Chamula",16.64,-92.74
tze,book1242,"Tzotzil, Chenalhó",16.64,-92.74
tzz,book1242,"Tzotzil, Zinacantán",16.64,-92.74
tzj,maya1287,Tz'utujil,14.6351,-91.2012
tzt,book1242,"Tz'utujil, Western",,
uam,uncl1493,Uamué,-8.49999,-38.75
